"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 21 20:48:43 GMT 2023","Tue Nov 21 20:48:46 GMT 2023","2832","webkit","saucedemo-cart.spec.ts","Cart tests","","","Add product to cart and check list, remove items from cart page",""
"passed","Tue Nov 21 20:48:48 GMT 2023","Tue Nov 21 20:48:49 GMT 2023","1509","webkit","saucedemo-inventory.spec.ts","Invetory tests","","","Add and remove all products from the cart",""
"passed","Tue Nov 21 20:48:41 GMT 2023","Tue Nov 21 20:48:41 GMT 2023","859","firefox","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Tue Nov 21 20:48:57 GMT 2023","Tue Nov 21 20:48:58 GMT 2023","684","webkit","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Tue Nov 21 20:48:34 GMT 2023","Tue Nov 21 20:48:34 GMT 2023","669","firefox","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Tue Nov 21 20:48:25 GMT 2023","Tue Nov 21 20:48:25 GMT 2023","424","chromium","saucedemo-login.spec.ts","Login tests","","","Not existing user login",""
"passed","Tue Nov 21 20:48:42 GMT 2023","Tue Nov 21 20:48:42 GMT 2023","549","firefox","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Tue Nov 21 20:48:35 GMT 2023","Tue Nov 21 20:48:41 GMT 2023","5677","firefox","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Tue Nov 21 20:48:33 GMT 2023","Tue Nov 21 20:48:34 GMT 2023","647","firefox","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Tue Nov 21 20:48:49 GMT 2023","Tue Nov 21 20:48:50 GMT 2023","425","webkit","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Tue Nov 21 20:48:58 GMT 2023","Tue Nov 21 20:48:59 GMT 2023","594","webkit","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Tue Nov 21 20:48:32 GMT 2023","Tue Nov 21 20:48:33 GMT 2023","485","firefox","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Tue Nov 21 20:48:16 GMT 2023","Tue Nov 21 20:48:17 GMT 2023","768","chromium","saucedemo-checkout.spec.ts","Checkout tests","","","Add product to cart and procede to thank page",""
"passed","Tue Nov 21 20:48:58 GMT 2023","Tue Nov 21 20:48:58 GMT 2023","525","webkit","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Tue Nov 21 20:48:25 GMT 2023","Tue Nov 21 20:48:26 GMT 2023","378","chromium","saucedemo-login.spec.ts","Login tests","","","Login without username",""
"passed","Tue Nov 21 20:48:50 GMT 2023","Tue Nov 21 20:48:51 GMT 2023","649","webkit","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Tue Nov 21 20:48:18 GMT 2023","Tue Nov 21 20:48:18 GMT 2023","267","chromium","saucedemo-login.spec.ts","Login tests","","","Login page has correct title",""
"passed","Tue Nov 21 20:48:17 GMT 2023","Tue Nov 21 20:48:18 GMT 2023","1003","chromium","saucedemo-inventory.spec.ts","Invetory tests","","","Add and remove all products from the cart",""
"passed","Tue Nov 21 20:48:27 GMT 2023","Tue Nov 21 20:48:30 GMT 2023","3095","firefox","saucedemo-cart.spec.ts","Cart tests","","","Add product to cart and check list, remove items from cart page",""
"passed","Tue Nov 21 20:48:51 GMT 2023","Tue Nov 21 20:48:52 GMT 2023","622","webkit","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Tue Nov 21 20:48:15 GMT 2023","Tue Nov 21 20:48:16 GMT 2023","1505","chromium","saucedemo-cart.spec.ts","Cart tests","","","Add product to cart and check list, remove items from cart page",""
"passed","Tue Nov 21 20:48:34 GMT 2023","Tue Nov 21 20:48:35 GMT 2023","714","firefox","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Tue Nov 21 20:48:26 GMT 2023","Tue Nov 21 20:48:26 GMT 2023","374","chromium","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Tue Nov 21 20:48:52 GMT 2023","Tue Nov 21 20:48:57 GMT 2023","5662","webkit","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
"passed","Tue Nov 21 20:48:18 GMT 2023","Tue Nov 21 20:48:19 GMT 2023","426","chromium","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Tue Nov 21 20:48:31 GMT 2023","Tue Nov 21 20:48:32 GMT 2023","1503","firefox","saucedemo-inventory.spec.ts","Invetory tests","","","Add and remove all products from the cart",""
"passed","Tue Nov 21 20:48:50 GMT 2023","Tue Nov 21 20:48:50 GMT 2023","719","webkit","saucedemo-login.spec.ts","Login tests","","","Standart user login",""
"passed","Tue Nov 21 20:48:30 GMT 2023","Tue Nov 21 20:48:31 GMT 2023","1272","firefox","saucedemo-checkout.spec.ts","Checkout tests","","","Add product to cart and procede to thank page",""
"passed","Tue Nov 21 20:48:19 GMT 2023","Tue Nov 21 20:48:19 GMT 2023","408","chromium","saucedemo-login.spec.ts","Login tests","","","Locked user login",""
"passed","Tue Nov 21 20:48:19 GMT 2023","Tue Nov 21 20:48:20 GMT 2023","426","chromium","saucedemo-login.spec.ts","Login tests","","","Problem user login",""
"passed","Tue Nov 21 20:48:46 GMT 2023","Tue Nov 21 20:48:48 GMT 2023","1329","webkit","saucedemo-checkout.spec.ts","Checkout tests","","","Add product to cart and procede to thank page",""
"passed","Tue Nov 21 20:48:42 GMT 2023","Tue Nov 21 20:48:43 GMT 2023","579","firefox","saucedemo-login.spec.ts","Login tests","","","Login without password",""
"passed","Tue Nov 21 20:48:20 GMT 2023","Tue Nov 21 20:48:25 GMT 2023","5405","chromium","saucedemo-login.spec.ts","Login tests","","","Perfomance user login",""
